id,name_zh,name_en,family,atlas_status,provisional_role,default_use,proposed_partner_ids,governance_status,rationale,source_url
M24,銀尖筆,Silverpoint,metalpoint,pending,PARTNER,高精度古典線描,,MANUAL_REVIEW_REQUIRED,線精度與解剖佳；不透明填色能力低,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M25,蠟畫,Encaustic,wax_medium,pending,AVOID_DEFAULT,蠟質／刮痕實驗卡,,MANUAL_REVIEW_REQUIRED,蠟層與刮面不利高密度文字,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M26,木刻,Woodcut,printmaking,pending,BASE,高對比公衛、歷史版畫卡,M39,MANUAL_REVIEW_REQUIRED,條件式 base；需要控制黑白密度,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M27,絲網印刷,Screen Printing,printmaking,pending,BASE,公衛宣導、少色印刷卡,M39,MANUAL_REVIEW_REQUIRED,條件式 base；適合大塊資訊而非細膩解剖,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M28,蝕刻,Etching,printmaking,pending,PARTNER,蝕刻式線描與排線,,MANUAL_REVIEW_REQUIRED,適合細節與檔案感，先人工測試,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M29,石版畫,Lithography,printmaking,pending,BASE,歷史／檔案研究卡,M39,MANUAL_REVIEW_REQUIRED,條件式 base；避免整卡過暗,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M30,單刷版畫,Monotype,printmaking,pending,AVOID_DEFAULT,單刷表現性特例,,MANUAL_REVIEW_REQUIRED,轉印結果較難預測,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M31,拼貼,Collage,assembled_surface,pending,AVOID_DEFAULT,拼貼敘事特例,,MANUAL_REVIEW_REQUIRED,碎片邊緣容易破壞資訊層級,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M32,金箔貼金,Gilding,craft_surface,pending,AVOID_DEFAULT,微量金色點綴特例,,MANUAL_REVIEW_REQUIRED,只能人工控制極小面積，不能作預設 base,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M33,馬賽克,Mosaic,assembled_surface,pending,AVOID_DEFAULT,公共藝術／場景特例,,MANUAL_REVIEW_REQUIRED,組裝表面不利精準解剖,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M34,沙畫,Sand Painting,granular_surface,pending,AVOID_DEFAULT,顆粒文化敘事特例,,MANUAL_REVIEW_REQUIRED,線精度與標籤可讀性低,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M35,刮畫,Scratchboard,drawing_surface,pending,PARTNER,高對比解剖輪廓、反白線,,MANUAL_REVIEW_REQUIRED,適合局部線媒材；暗底不宜擴張,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M36,麥克筆,Marker,drawing_ink,pending,PARTNER,標籤、流程線與平整局部,,MANUAL_REVIEW_REQUIRED,高線精度；避免 marker fill 主導,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M37,毛筆／書法,Brush Ink,drawing_ink,pending,PARTNER,動態墨線、文化語氣,,MANUAL_REVIEW_REQUIRED,僅限局部線條，不作預設文字表面,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M38,原子筆,Ballpoint Pen,drawing_ink,pending,PARTNER,細排線、筆記式結構,,MANUAL_REVIEW_REQUIRED,可補技術感，需人工審核,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M39,針管筆,Technical Pen,drawing_ink,pilot,PARTNER,技術線、標籤、解剖與圖表,M17|M01|M43|M50|M74,AUTO_ELIGIBLE_ATLAS,核心 precision partner；pilot 可自動候選,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M40,印度墨,India Ink,drawing_ink,pilot,PARTNER,黑白高對比解剖與器材線,M01|M43,AUTO_ELIGIBLE_ATLAS,pilot；適合清楚輪廓,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M41,壓克力墨水,Acrylic Ink,drawing_ink,pending,PARTNER,彩色精細線與局部填色,,MANUAL_REVIEW_REQUIRED,先人工審核,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M42,酒精墨水,Alcohol Ink,fluid_ink,pending,AVOID_DEFAULT,抽象流體背景特例,,MANUAL_REVIEW_REQUIRED,流動邊緣與標籤精度衝突,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M43,酪蛋白顏料,Casein Paint,wet_paint,pilot,BASE,醫學解剖、人物、研究摘要,M39|M40,AUTO_ELIGIBLE_ATLAS,pilot；不透明、標籤與解剖表現均衡,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M44,膠彩／動物膠彩,Distemper,wet_paint,pending,BASE,柔和不透明敘事卡,M39,MANUAL_REVIEW_REQUIRED,條件式 base；仍屬 family-default,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M45,油氈版畫,Linocut,printmaking,pending,BASE,高對比公衛／流程卡,M39,MANUAL_REVIEW_REQUIRED,條件式 base；少色、高辨識,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M46,乾刻,Drypoint,printmaking,pending,PARTNER,乾刻線與局部排線,,MANUAL_REVIEW_REQUIRED,適合作為線性／檔案質感,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M47,飛塵腐蝕,Aquatint,printmaking,pending,BASE,灰階層次、歷史公衛卡,M39,MANUAL_REVIEW_REQUIRED,條件式 base；需控制顆粒與暗部,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M48,美柔汀,Mezzotint,printmaking,pending,AVOID_DEFAULT,深暗肖像／檔案特例,,MANUAL_REVIEW_REQUIRED,暗部密度高，不利手機小字,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M49,拼貼版畫,Collagraph,printmaking,pending,AVOID_DEFAULT,材質版畫特例,,MANUAL_REVIEW_REQUIRED,表面複雜度高,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M50,孔版印刷,Risograph,printmaking,pilot,BASE,少色研究摘要、公衛卡,M39|M74,AUTO_ELIGIBLE_ATLAS,pilot；標籤與公衛適配高,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M51,藍曬,Cyanotype,photographic,pending,AVOID_DEFAULT,藍圖／檔案特例,,MANUAL_REVIEW_REQUIRED,單色工藝強，非通用醫學卡,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M52,剪紙,Paper Cut,craft_surface,pending,BASE,簡化輪廓、公共教育剪影,M39,MANUAL_REVIEW_REQUIRED,條件式 base；細解剖需線媒材補強,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M53,刺繡,Embroidery,textile,pending,PARTNER,縫線輪廓、微量觸感,,MANUAL_REVIEW_REQUIRED,只作局部紋理或輪廓,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M54,彩繪玻璃,Stained Glass,craft_surface,pending,AVOID_DEFAULT,象徵／宗教場景特例,,MANUAL_REVIEW_REQUIRED,分割與透光表面過強,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M55,墨流／浮水染,Suminagashi,marbling,pending,AVOID_DEFAULT,抽象背景特例,,MANUAL_REVIEW_REQUIRED,線精度與解剖適配最低,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M56,土耳其浮水畫,Ebru,marbling,pending,AVOID_DEFAULT,抽象背景特例,,MANUAL_REVIEW_REQUIRED,不可預測紋理，不利標籤,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M57,澱粉糊染紙,Paste Paper,decorated_paper,pending,PARTNER,微量紙面紋理、輸出表面,,MANUAL_REVIEW_REQUIRED,不可取代乾淨背景,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M58,拓印,Frottage,transfer_texture,pending,PARTNER,局部拓印紋理,,MANUAL_REVIEW_REQUIRED,僅限小面積 texture accent,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M59,轉印畫,Decalcomania,transfer_texture,pending,PARTNER,局部接觸轉印紋理,,MANUAL_REVIEW_REQUIRED,僅限小面積 texture accent,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M60,鏤空／模板畫,Stencil,printmaking,pending,BASE,公共衛生圖示、模板化流程,M39,MANUAL_REVIEW_REQUIRED,條件式 base；輪廓明確,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M61,橡皮章,Rubber Stamp,printmaking,pending,PARTNER,小型章印、圖示提示,,MANUAL_REVIEW_REQUIRED,只作局部 icon accent,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M62,活版印刷,Letterpress,printmaking,pending,PARTNER,標題／引用區的壓印感,,MANUAL_REVIEW_REQUIRED,偏 output/typographic accent,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M63,凝膠版畫,Gel Plate Printing,printmaking,pending,AVOID_DEFAULT,實驗性版畫背景,,MANUAL_REVIEW_REQUIRED,表面變化較難控制,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M64,魚拓,Gyotaku,transfer_texture,pending,AVOID_DEFAULT,生物標本文化敘事特例,,MANUAL_REVIEW_REQUIRED,接觸拓印不適用一般人物／器官,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M65,植物直接拓印,Nature Printing,transfer_texture,pending,AVOID_DEFAULT,植物／生態敘事特例,,MANUAL_REVIEW_REQUIRED,題材綁定強,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M66,鹽紙印相,Salt Print,photographic,pending,AVOID_DEFAULT,歷史攝影特例,,MANUAL_REVIEW_REQUIRED,褐色檔案感不宜作預設,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M67,蛋白印相,Albumen Print,photographic,pending,AVOID_DEFAULT,歷史肖像特例,,MANUAL_REVIEW_REQUIRED,輸出表面與色調綁定強,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M68,梵戴克棕印相,Van Dyke Brown,photographic,pending,AVOID_DEFAULT,棕調檔案特例,,MANUAL_REVIEW_REQUIRED,易滑向泛棕舊紙,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M69,鉑鈀印相,Platinum-Palladium Print,photographic,pilot,AVOID_DEFAULT,高階檔案／肖像特例,M39,AUTO_ELIGIBLE_ATLAS,雖為 pilot，但醫學標籤與解剖分數偏低,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M70,重鉻酸膠印,Gum Bichromate,photographic,pending,AVOID_DEFAULT,手工攝影印相特例,,MANUAL_REVIEW_REQUIRED,色層與工藝感非通用資訊卡,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M71,照相凹版,Heliogravure,photographic,pending,AVOID_DEFAULT,歷史凹版特例,,MANUAL_REVIEW_REQUIRED,偏檔案輸出，不作預設媒材,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M72,藝術微噴,Giclee,digital_output,pending,PARTNER,最終輸出／印製 finish,,MANUAL_REVIEW_REQUIRED,是 output method，不得冒充繪畫風格,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M73,點陣數位繪畫,Raster Painting,digital_creation,pilot,BASE,高精度數位醫學圖卡,M74,AUTO_ELIGIBLE_ATLAS,pilot；適合解剖、標籤與可編輯層,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M74,向量插畫,Vector Illustration,digital_creation,pilot,BASE,高精度向量、公衛與流程卡,M39|M50|M73,AUTO_ELIGIBLE_ATLAS,pilot；解剖、標籤、公衛均強,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M75,像素藝術,Pixel Art,digital_creation,pending,AVOID_DEFAULT,像素藝術主題特例,,MANUAL_REVIEW_REQUIRED,強風格化，非通用醫學輸出,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
